Passport,Destination,Requirement,duration,passport-id
AF,AL,e-visa,0,1
AF,DZ,visa required,0,2
AF,AD,visa required,0,3
AF,AO,visa required,0,4
AF,AG,e-visa,0,5
AF,AR,visa required,0,6
AF,AM,visa required,0,7
AF,AU,e-visa,0,8
AF,AT,visa required,0,9
AF,AZ,visa required,0,10
AF,BS,e-visa,0,11
AF,BH,e-visa,0,12
AF,BD,visa on arrival,30,13
AF,BB,visa required,0,14
AF,BY,visa required,0,15
AF,BE,visa required,0,16
AF,BZ,visa required,0,17
AF,BJ,e-visa,0,18
AF,BT,e-visa,0,19
AF,BO,visa on arrival,90,20
AF,BA,visa required,0,21
AF,BW,e-visa,0,22
AF,BR,visa required,0,23
AF,BN,visa required,0,24
AF,BG,visa required,0,25
AF,BF,e-visa,0,26
AF,BI,visa on arrival,30,27
AF,KH,visa on arrival,30,28
AF,CM,e-visa,0,29
AF,CA,visa required,0,30
AF,CV,visa on arrival,0,31
AF,CF,visa required,0,32
AF,TD,visa required,0,33
AF,CL,visa required,0,34
AF,CN,visa required,0,35
AF,CO,e-visa,0,36
AF,KM,visa on arrival,45,37
AF,CG,visa required,0,38
AF,CD,e-visa,90,39
AF,CR,visa required,0,40
AF,CI,e-visa,90,41
AF,HR,visa required,0,42
AF,CU,visa required,0,43
AF,CY,visa required,0,44
AF,CZ,visa required,0,45
AF,DK,visa required,0,46
AF,DJ,e-visa,90,47
AF,DO,visa required,0,48
AF,EC,e-visa,0,49
AF,EG,visa required,0,50
AF,SV,e-visa,0,51
AF,GQ,e-visa,0,52
AF,ER,visa required,0,53
AF,EE,visa required,0,54
AF,SZ,visa required,0,55
AF,ET,e-visa,90,56
AF,FJ,visa required,0,57
AF,FI,visa required,0,58
AF,FR,visa required,0,59
AF,GA,e-visa,90,60
AF,GM,visa required,0,61
AF,GE,e-visa,0,62
AF,DE,visa required,0,63
AF,GH,visa required,0,64
AF,GR,visa required,0,65
AF,GD,visa required,0,66
AF,GT,visa required,0,67
AF,GN,e-visa,90,68
AF,GW,visa on arrival,90,69
AF,GY,visa required,0,70
AF,HN,visa required,0,71
AF,HK,e-visa,0,72
AF,HU,visa required,0,73
AF,IS,visa required,0,74
AF,IN,e-visa,30,75
AF,ID,e-visa,0,76
AF,IR,visa required,0,77
AF,IQ,visa required,0,78
AF,IE,visa required,0,79
AF,IL,visa required,0,80
AF,IT,visa required,0,81
AF,JM,visa required,0,82
AF,JP,visa required,0,83
AF,JO,visa required,0,84
