Passport,Destination,Requirement
AFG,ALB,e-visa
AFG,DZA,visa required
AFG,AND,visa required
AFG,AGO,visa required
AFG,ATG,e-visa
AFG,ARG,visa required
AFG,ARM,visa required
AFG,AUS,e-visa
AFG,AUT,visa required
AFG,AZE,visa required
AFG,BHS,e-visa
AFG,BHR,e-visa
AFG,BGD,visa on arrival (30)
AFG,BRB,visa required
AFG,BLR,visa required
AFG,BEL,visa required
AFG,BLZ,visa required
AFG,BEN,e-visa
AFG,BTN,e-visa
AFG,BOL,visa on arrival (90)
AFG,BIH,visa required
AFG,BWA,e-visa
AFG,BRA,visa required
AFG,BRN,visa required
AFG,BGR,visa required
AFG,BFA,e-visa
AFG,BDI,visa on arrival (30)
AFG,KHM,visa on arrival (30)
AFG,CMR,e-visa
AFG,CAN,visa required
AFG,CPV,visa on arrival
AFG,CAF,visa required
AFG,TCD,visa required
AFG,CHL,visa required
AFG,CHN,visa required
AFG,COL,e-visa
AFG,COM,visa on arrival (45)
AFG,COG,visa required
AFG,COD,e-visa (90)
AFG,CRI,visa required
AFG,CIV,e-visa (90)
AFG,HRV,visa required
AFG,CUB,visa required
AFG,CYP,visa required
AFG,CZE,visa required
AFG,DNK,visa required
AFG,DJI,visa on arrival (90)
AFG,DOM,visa required
AFG,ECU,e-visa
AFG,EGY,visa required
AFG,SLV,e-visa
AFG,GNQ,e-visa
AFG,ERI,visa required
AFG,EST,visa required
AFG,SWZ,visa required
AFG,ETH,e-visa (90)
AFG,FJI,visa required
AFG,FIN,visa required
AFG,FRA,visa required
AFG,GAB,e-visa (90)
AFG,GMB,visa required
AFG,GEO,e-visa
AFG,DEU,visa required
AFG,GHA,visa required
AFG,GRC,visa required
AFG,GRD,visa required
AFG,GTM,visa required
AFG,GIN,e-visa (90)
AFG,GNB,visa on arrival (90)
AFG,GUY,visa required
AFG,HND,visa required
AFG,HKG,e-visa
AFG,HUN,visa required
AFG,ISL,visa required
AFG,IND,e-visa (30)
AFG,IDN,e-visa
AFG,IRN,visa required
AFG,IRQ,visa required
AFG,IRL,visa required
AFG,ISR,visa required
AFG,ITA,visa required
AFG,JAM,visa required
AFG,JPN,visa required
AFG,JOR,visa required
