Passport,Destination,Requirement,duration,passport-id
Afghanistan,Albania,e-visa,0,1
Afghanistan,Algeria,visa required,0,2
Afghanistan,Andorra,visa required,0,3
Afghanistan,Angola,visa required,0,4
Afghanistan,Antigua and Barbuda,e-visa,0,5
Afghanistan,Argentina,visa required,0,6
Afghanistan,Armenia,visa required,0,7
Afghanistan,Australia,e-visa,0,8
Afghanistan,Austria,visa required,0,9
Afghanistan,Azerbaijan,visa required,0,10
Afghanistan,Bahamas,e-visa,0,11
Afghanistan,Bahrain,e-visa,0,12
Afghanistan,Bangladesh,visa on arrival,30,13
Afghanistan,Barbados,visa required,0,14
Afghanistan,Belarus,visa required,0,15
Afghanistan,Belgium,visa required,0,16
Afghanistan,Belize,visa required,0,17
Afghanistan,Benin,e-visa,0,18
Afghanistan,Bhutan,e-visa,0,19
Afghanistan,Bolivia,visa on arrival,90,20
Afghanistan,Bosnia and Herzegovina,visa required,0,21
Afghanistan,Botswana,e-visa,0,22
Afghanistan,Brazil,visa required,0,23
Afghanistan,Brunei,visa required,0,24
Afghanistan,Bulgaria,visa required,0,25
Afghanistan,Burkina Faso,e-visa,0,26
Afghanistan,Burundi,visa on arrival,30,27
Afghanistan,Cambodia,visa on arrival,30,28
Afghanistan,Cameroon,e-visa,0,29
Afghanistan,Canada,visa required,0,30
Afghanistan,Cape Verde,visa on arrival,0,31
Afghanistan,Central African Republic,visa required,0,32
Afghanistan,Chad,visa required,0,33
Afghanistan,Chile,visa required,0,34
Afghanistan,China,visa required,0,35
Afghanistan,Colombia,e-visa,0,36
Afghanistan,Comoros,visa on arrival,45,37
Afghanistan,Congo,visa required,0,38
Afghanistan,DR Congo,e-visa,90,39
Afghanistan,Costa Rica,visa required,0,40
Afghanistan,Ivory Coast,e-visa,90,41
Afghanistan,Croatia,visa required,0,42
Afghanistan,Cuba,visa required,0,43
Afghanistan,Cyprus,visa required,0,44
Afghanistan,Czech Republic,visa required,0,45
Afghanistan,Denmark,visa required,0,46
Afghanistan,Djibouti,e-visa,90,47
Afghanistan,Dominican Republic,visa required,0,48
Afghanistan,Ecuador,e-visa,0,49
Afghanistan,Egypt,visa required,0,50
Afghanistan,El Salvador,e-visa,0,51
Afghanistan,Equatorial Guinea,e-visa,0,52
Afghanistan,Eritrea,visa required,0,53
Afghanistan,Estonia,visa required,0,54
Afghanistan,Swaziland,visa required,0,55
Afghanistan,Ethiopia,e-visa,90,56
Afghanistan,Fiji,visa required,0,57
Afghanistan,Finland,visa required,0,58
Afghanistan,France,visa required,0,59
Afghanistan,Gabon,e-visa,90,60
Afghanistan,Gambia,visa required,0,61
Afghanistan,Georgia,e-visa,0,62
Afghanistan,Germany,visa required,0,63
Afghanistan,Ghana,visa required,0,64
Afghanistan,Greece,visa required,0,65
Afghanistan,Grenada,visa required,0,66
Afghanistan,Guatemala,visa required,0,67
Afghanistan,Guinea,e-visa,90,68
Afghanistan,Guinea-Bissau,visa on arrival,90,69
Afghanistan,Guyana,visa required,0,70
Afghanistan,Honduras,visa required,0,71
Afghanistan,Hong Kong,e-visa,0,72
Afghanistan,Hungary,visa required,0,73
Afghanistan,Iceland,visa required,0,74
Afghanistan,India,e-visa,30,75
Afghanistan,Indonesia,e-visa,0,76
Afghanistan,Iran,visa required,0,77
